Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist
"2,687.3281592",107.561613047,26.873281592,"2,175.320199",937.625047531,21.75320199,"2,214.5896","1,513.37516848",22.2571819095,"2,273.358",79.6937396036,22.8478190955
"2,803.19044776",172.124361044,28.0319044776,"2,408.27502488",879.892994938,24.0827502488,"2,179.3888","1,481.76794812",21.9034050251,"2,235.422",46.1665307339,22.4665527638
"2,946.09233831",148.770559367,29.4609233831,"2,486.57751244","1,172.90886442",24.8657751244,"2,193.9246","1,481.63883644",22.0494934673,"2,250.465",111.493085167,22.6177386935
"2,171.21114428",105.887375912,21.7121114428,"2,477.24179104",933.106679528,24.7724179104,"2,168.332","1,467.38329969",21.792281407,"2,220.694",66.6286893763,22.3185326633
"1,836.49830846",99.9037047155,18.3649830846,"2,456.3478607","1,313.6828492",24.563478607,"2,217.2076","1,445.75720433",22.2834934673,"2,269.736",81.0741124404,22.8114170854
"2,668.22646766",177.847442078,26.6822646766,"2,441.28915423",952.42182737,24.4128915423,"2,223.921","1,390.83265525",22.3509648241,"2,269.7402",72.901314685,22.8114592965
"2,362.40995025",56.9426254445,23.6240995025,"2,696.28935323",979.234587244,26.9628935323,"2,226.7676","1,477.48460257",22.3795738693,"2,280.498",82.422777034,22.9195778894
"2,785.20995025",53.0995731825,27.8520995025,"2,528.49074627",819.287578168,25.2849074627,"2,209.253","1,542.27945738",22.2035477387,"2,270.5086",160.029686331,22.8191819095
"2,717.31462687",56.7313207688,27.1731462687,"2,612.70965174",932.983857879,26.1270965174,"2,211.576","1,492.91494509",22.2268944724,"2,268.1832",102.771476913,22.7958110553
"2,251.11402985",38.8138647819,22.5111402985,"2,431.24059701","1,170.79986214",24.3124059701,"2,161.3306","1,473.7756679",21.7219155779,"2,217.8866",92.331670077,22.2903175879
"2,606.55840796",120.62095753,26.0655840796,"2,507.41532338","1,518.89701652",25.0741532338,"2,173.7712","1,478.34472639",21.8469467337,"2,228.838",105.227354428,22.4003819095
"2,381.54706468",157.524733792,23.8154706468,"2,393.21751244","1,226.02597936",23.9321751244,"2,195.2426","1,531.9134561",22.0627396985,"2,254.739",66.1606076453,22.6606934673
"2,730.4358209",60.9362363164,27.304358209,"2,504.53333333","1,095.86902157",25.0453333333,"2,252.919","1,504.29258786",22.6424020101,"2,309.1046",156.993500302,23.207081407
"2,791.68199005",90.966803265,27.9168199005,"2,433.70746269",722.854919349,24.3370746269,"2,156.849","1,464.04413642",21.6768743719,"2,211.6234",161.853110873,22.2273708543
"2,346.92656716",200.683982778,23.4692656716,"2,476.50228856","1,095.07576568",24.7650228856,"2,198.6802","1,542.29420663",22.0972884422,"2,258.3258",88.1222754858,22.6967417085
