Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist
"2,761.32868988",91.5089501867,27.6132868988,"2,370.45771144","1,225.30765396",23.7045771144,"2,107.07533333","1,893.43557275",21.1766365159,"2,216.33466667",61.0321478312,22.274720268
"2,684.38341625",156.581574608,26.8438341625,"2,406.75887231","1,209.00156256",24.0675887231,"2,178.17533333","1,925.33089893",21.8912093802,"2,289.71866667",186.524431754,23.0122479062
"2,948.26401327",111.269841385,29.4826401327,"2,669.26965174","1,231.00999341",26.6926965174,"2,102.619","1,887.1803698",21.1318492462,"2,212.279",86.4149901027,22.233959799
"3,204.51542289",161.367473013,32.0451542289,"2,600.12537313","1,648.51525143",26.0012537313,"2,183.12966667","1,914.99596942",21.941001675,"2,286.77233333",198.085192469,22.9826365159
"3,035.70945274",306.096135085,30.3570945274,"2,528.49618574","1,028.23510191",25.2849618574,"2,111.81733333","1,911.60278395",21.2242948074,"2,219.60866667",179.46919806,22.3076247906
"3,107.76318408",73.3945651193,31.0776318408,"2,722.64875622","1,157.64400128",27.2264875622,"2,167.88466667","1,914.55687083",21.7877855946,"2,278.522",151.101454905,22.899718593
"3,243.35721393",76.9551663285,32.4335721393,"2,665.44809287","1,063.69217574",26.6544809287,"2,127.42466667","1,942.91285967",21.3811524288,"2,241.67666667",135.106413636,22.5294137353
"3,070.55124378",78.8511698721,30.7055124378,"2,505.03946932","1,517.11716535",25.0503946932,"2,125.61","1,873.59756338",21.3629145729,"2,225.62066667",161.408055244,22.3680469012
"3,022.88490879",29.9399846877,30.2288490879,"2,861.2291874",614.44004508,28.612291874,"2,179.36","1,937.47961809",21.9031155779,"2,291.402",83.1590448545,23.0291658291
"3,038.03515755",55.3881120312,30.3803515755,"2,547.2013267","1,528.6502001",25.472013267,"2,103.53466667","1,981.27589782",21.1410519263,"2,216.22933333",152.534793783,22.2736616415
"2,965.18076285",307.671066831,29.6518076285,"2,599.5854063","1,418.40385303",25.995854063,"2,168.55066667","1,911.62739932",21.794479062,"2,277.892",69.5292006762,22.8933869347
"3,024.9709453",136.3737066419,30.249709453,"2,576.33953566","1,242.588916513",25.7633953566,"2,140.32461667","1,911.16319927",21.5108001675,"2,249.23355",124.842450301,22.6053623116
End Test of p = 200,,,,,,,,,,,
"3,878.54828042",164.356395778,30.9047671747,"3,318.4537037",868.173806932,26.4418621809,"2,735.649","2,122.22182607",21.9730843373,"2,866.599",138.785813125,23.0248915663
"3,437.64550265",309.607958381,27.3915976306,"2,960.88128307","1,238.24421853",23.5926795464,"2,663.64633333","2,087.3222002",21.3947496653,"2,793.32966667",273.002064444,22.4363828648
"4,025.0082672",110.088677595,32.0717790215,"3,551.38293651","1,528.91984513",28.297872004,"2,659.89233333","2,119.44865795",21.3645970549,"2,785.63766667",92.8139010158,22.3745997323
"3,294.99702381",80.0766808887,26.254956365,"3,019.49636243","1,897.10456845",24.0597319716,"2,717.83866667","2,053.25999639",21.8300294511,"2,843.05266667",122.836582094,22.8357643909
"3,668.65178571",295.279795207,29.2322851451,"3,265.97255291","1,148.12100146",26.0236856806,"2,709.356","2,114.13877193",21.7618955823,"2,842.328",88.8777931319,22.8299437751
"3,782.39781746",179.436065453,30.1386280276,"2,801.44907407","1,089.47342369",22.3223033791,"2,701.216","1,986.80976935",21.6965140562,"2,818.93",38.7981468744,22.6420080321
"3,849.54530423",248.312403081,30.6736677628,"3,251.1468254","1,711.42141483",25.9055523936,"2,657.32033333","2,168.23110058",21.3439384203,"2,796.00766667",74.2503219926,22.457892905
"3,603.90277778",240.05992507,28.716356795,"3,391.36044974","1,550.53611215",27.0227924282,"2,773.35833333","2,213.17770213",22.2759705489,"2,918.155",236.905249368,23.4389959839
"3,441.51719577",215.674660149,27.422447775,"2,769.32109788","1,375.10704959",22.0663035688,"2,624.91933333","2,091.51249211",21.0836894244,"2,749.17933333",85.0834004544,22.0817617135
"3,651.2906746",210.482779019,29.0939495984,"3,403.98115079",948.508751441,27.1233557832,"2,700.22833333","2,105.14470862",21.6885809906,"2,820.97833333",171.626312226,22.6584605087
"3,581.22685185",90.9455321957,28.5356721263,"3,092.57837302","1,375.22897649",24.6420587491,"2,710.74266667","2,129.22187377",21.7730334672,"2,838.49266667",125.370154513,22.7991378849
"3,547.00727513",118.84897097,28.2630061764,"3,359.41501323",863.401639273,26.7682471174,"2,702.919","2,079.68833862",21.7101927711,"2,834.655",116.653643728,22.768313253
"3,904.31977513",186.206536508,31.1101177301,"3,345.31613757","1,176.73074149",26.6559054786,"2,687.89066667","2,055.74445658",21.5894832664,"2,814.328",153.079408564,22.6050441767
"3,639.29828042",164.896333818,28.9983926727,"3,179.4375","1,464.48430302",25.3341633466,"2,656.52333333","2,110.75713327",21.3375368139,"2,802.10066667",147.346097818,22.506832664
"3,605.78141534",71.7875218372,28.7313260187,"3,047.97056878","1,473.90135596",24.286618078,"2,744.57766667","2,083.7918409",22.0448005355,"2,868.87233333",206.417532368,23.0431512718
"3,929.51521164",174.641246556,31.3108781804,"3,312.24933862","1,181.66207573",26.392425009,"2,692.78933333","2,079.78778794",21.6288299866,"2,832.13666667",99.0436945191,22.748085676
"3,501.14550265",104.746973861,27.8975737263,"3,011.33267196","1,544.5104838",23.9946826451,"2,690.61","2,056.70623701",21.6113253012,"2,817.88133333",130.706479975,22.6335850067
"3,678.68915344",180.247683542,29.3122641708,"3,471.15707672","1,417.68716263",27.6586221253,"2,606.26266667","1,998.03720732",20.9338366801,"2,733.38666667",112.230655745,21.9549129853
"3,706.98776455",183.245427529,29.537751112,"3,092.28174603",708.341268248,24.6396951875,"2,711.23933333","2,085.91277564",21.7770227577,"2,840.15866667",130.531857438,22.812519411
"3,848.80522487",46.6572096627,30.6677707161,"3,115.37169312","1,733.94090614",24.8236788297,"2,663.979","2,163.94234202",21.3974216867,"2,804.16366667",97.4858776758,22.5234029451
"3,678.81405423",168.779938855,29.3132593963,"3,188.02777778","1,314.77495525",25.4026117751,"2,690.548","2,095.24286092",21.6108266399,"2,821.019",132.0922493535,22.6587843374
